NUMERO_REGISTRO_PRODUTO,DATA_DE_CONSUMO,QUANTIDADE_SAIDA,PREDICAO_MEDIA_MOVEL,PREDICAO_DEEPAR
100230193,2021-11-30,4,9.666666666666666,15.905452728271484
100230193,2021-12-31,10,7.333333333333332,15.660533905029297
100230193,2022-01-31,17,8.666666666666666,17.10602569580078
100230235,2020-02-29,47,,
100230235,2020-03-31,13,,
100230235,2020-04-30,8,,
100230235,2020-05-31,7,22.66666666666667,
100230235,2020-06-30,39,9.333333333333334,
100230235,2020-07-31,6,18.0,
100230235,2020-08-31,3,17.333333333333332,
100230235,2020-09-30,9,16.0,
100230235,2020-10-31,7,6.0,
100230235,2020-11-30,14,6.333333333333332,
100230235,2020-12-31,31,10.0,
100230235,2021-01-31,6,17.333333333333332,
100230235,2021-02-28,47,17.0,
100230235,2021-03-31,44,28.0,
100230235,2021-04-30,23,32.333333333333336,
100230235,2021-05-31,8,38.0,
100230235,2021-06-30,22,25.0,
100230235,2021-07-31,20,17.666666666666668,
100230235,2021-08-31,2,16.666666666666668,
100230235,2021-09-30,55,14.666666666666664,
100230235,2021-10-31,30,25.66666666666667,
100230235,2021-11-30,48,29.0,21.400943756103516
100230235,2021-12-31,17,44.33333333333334,18.50175666809082
100230235,2022-01-31,14,31.66666666666667,17.498708724975586
100230236,2020-02-29,7,,
100230236,2020-03-31,8,,
100230236,2020-04-30,27,,
100230236,2020-05-31,12,14.0,
100230236,2020-06-30,8,15.666666666666664,
100230236,2020-07-31,22,15.666666666666664,
100230236,2020-08-31,14,14.0,
100230236,2020-09-30,15,14.666666666666664,
100230236,2020-10-31,22,17.0,
100230236,2020-11-30,23,17.0,
100230236,2020-12-31,33,20.0,
100230236,2021-01-31,6,26.0,
100230236,2021-02-28,0,20.666666666666668,
100230236,2021-03-31,34,13.0,
100230236,2021-04-30,41,13.333333333333336,
100230236,2021-05-31,22,25.0,
100230236,2021-06-30,30,32.333333333333336,
100230236,2021-07-31,4,31.0,
100230236,2021-08-31,22,18.666666666666668,
100230236,2021-09-30,29,18.666666666666668,
100230236,2021-10-31,10,18.33333333333333,
100230236,2021-11-30,6,20.33333333333333,15.625496864318848
100230236,2021-12-31,6,15.0,16.55802345275879
100230236,2022-01-31,33,7.333333333333332,21.587907791137695
100240120,2020-02-29,57,,
100240120,2020-03-31,24,,
100240120,2020-04-30,30,,
100240120,2020-05-31,38,37.0,
100240120,2020-06-30,34,30.66666666666667,
100240120,2020-07-31,2,34.0,
100240120,2020-08-31,11,24.66666666666667,
100240120,2020-09-30,3,15.666666666666664,
100240120,2020-10-31,26,5.333333333333333,
100240120,2020-11-30,9,13.333333333333336,
100240120,2020-12-31,24,12.666666666666664,
100240120,2021-01-31,7,19.666666666666668,
100240120,2021-02-28,0,13.333333333333336,
100240120,2021-03-31,17,10.333333333333334,
100240120,2021-04-30,3,8.0,
100240120,2021-05-31,1,6.666666666666668,
100240120,2021-06-30,26,7.0,
100240120,2021-07-31,9,10.0,
100240120,2021-08-31,9,12.0,
100240120,2021-09-30,1,14.666666666666664,
100240120,2021-10-31,24,6.333333333333332,
100240120,2021-11-30,20,11.333333333333336,18.141016006469727
100240120,2021-12-31,12,15.0,20.19550895690918
100240120,2022-01-31,40,18.666666666666668,22.44151496887207
100250065,2020-02-29,11,,
100250065,2020-03-31,41,,
100250065,2020-04-30,3,,
100250065,2020-05-31,16,18.33333333333333,
100250065,2020-06-30,25,20.0,
100250065,2020-07-31,7,14.666666666666664,
100250065,2020-08-31,14,16.0,
100250065,2020-09-30,30,15.333333333333336,
100250065,2020-10-31,1,17.0,
100250065,2020-11-30,5,15.0,
100250065,2020-12-31,34,12.0,
100250065,2021-01-31,16,13.333333333333336,
100250065,2021-02-28,25,18.33333333333333,
100250065,2021-03-31,9,25.0,
100250065,2021-04-30,13,16.666666666666668,
100250065,2021-05-31,10,15.666666666666664,
100250065,2021-06-30,42,10.666666666666666,
100250065,2021-07-31,21,21.66666666666667,
100250065,2021-08-31,20,24.33333333333333,
100250065,2021-09-30,35,27.66666666666667,
100250065,2021-10-31,5,25.33333333333333,
100250065,2021-11-30,30,20.0,19.73838233947754
100250065,2021-12-31,17,23.33333333333333,12.783605575561523
100250065,2022-01-31,0,17.333333333333332,17.984479904174805
100250102,2020-02-29,22,,
100250102,2020-03-31,29,,
100250102,2020-04-30,13,,
100250102,2020-05-31,14,21.33333333333333,
100250102,2020-06-30,6,18.666666666666668,
100250102,2020-07-31,6,11.0,
